activityId,activityName,windowDist_m,bestPace_s_per_km
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",7980.1,338.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8021.8,337.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8062.7,337.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8102.1,337.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8140.2,337.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8176.0,337.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8193.2,338.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8208.3,338.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8221.5,339.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8239.4,339.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8252.7,339.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8266.1,339.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8296.8,339.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8336.1,339.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8376.4,339.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8411.5,339.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8450.4,339.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8487.3,339.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8506.9,339.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8520.3,340.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8534.5,340.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8548.1,341.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8562.6,341.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8575.6,341.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8605.6,341.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8643.5,341.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8681.1,341.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8719.7,341.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8757.4,341.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8797.6,340.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8816.7,341.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8831.0,342.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8845.5,342.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8858.3,343.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8871.4,343.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8885.1,343.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8917.7,343.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8955.9,343.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",8996.6,343.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9033.7,342.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9069.5,342.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9102.4,342.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9119.1,343.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9129.9,343.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9142.3,344.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9153.6,345.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9167.6,345.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9180.8,345.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9209.8,345.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9248.1,345.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9286.2,345.2
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9323.5,345.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9358.8,344.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9395.0,344.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9410.9,345.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9426.4,345.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9440.9,346.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9455.0,346.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9470.2,346.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9484.8,346.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9519.2,346.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9557.4,346.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9597.3,346.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9637.7,346.3
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9672.5,346.1
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9707.4,346.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9726.1,346.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9740.1,347.0
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9754.1,347.5
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9767.1,347.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9780.2,347.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9793.3,347.9
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9828.8,347.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9871.5,347.8
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9910.6,347.7
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9948.0,347.6
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",9984.5,347.4
17315975185,"20 mins tempo, 12 x 1 min with 1 min gaps",10018.7,347.2
